method,alpha,level,metric,mean,std
PCP,0.03,major,coverage,1.0,0.0
PCP,0.03,major,set_size_mean,20.0,0.0
PCP,0.03,major,set_size_median,20.0,0.0
PCP,0.03,major,empty_rate,0.0,0.0
PCP,0.03,major,singleton_rate,0.0,0.0
PCP,0.03,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.03,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.03,major,hir,,
PCP,0.03,leaf,coverage,1.0,0.0
PCP,0.03,leaf,set_size_mean,52.0,0.0
PCP,0.03,leaf,set_size_median,52.0,0.0
PCP,0.03,leaf,empty_rate,0.0,0.0
PCP,0.03,leaf,singleton_rate,0.0,0.0
PCP,0.03,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.03,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.03,leaf,hir,,
PCP,0.04,family,coverage,0.999503492307952,0.0005976329067788
PCP,0.04,family,set_size_mean,4.986160631149729,0.0043344908922426
PCP,0.04,family,set_size_median,5.0,0.0
PCP,0.04,family,empty_rate,0.0,0.0
PCP,0.04,family,singleton_rate,1.897433205072e-05,5.190439975506026e-05
PCP,0.04,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.04,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.04,family,hir,0.0,0.0
PCP,0.04,major,coverage,0.9859550605350046,0.0008603481161182
PCP,0.04,major,set_size_mean,17.774979566197526,0.2669029073085286
PCP,0.04,major,set_size_median,18.0,0.0
PCP,0.04,major,empty_rate,0.0,0.0
PCP,0.04,major,singleton_rate,1.897433205072e-05,5.190439975506026e-05
PCP,0.04,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.04,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.04,major,hir,,
PCP,0.04,leaf,coverage,0.9614135652526534,0.0030224798951719
PCP,0.04,leaf,set_size_mean,41.748242884769695,1.2876708287129957
PCP,0.04,leaf,set_size_median,43.22,1.0933938924658544
PCP,0.04,leaf,empty_rate,0.0,0.0
PCP,0.04,leaf,singleton_rate,0.0,0.0
PCP,0.04,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.04,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.04,leaf,hir,,
PCP,0.05,family,coverage,0.9985420614669388,0.0003429929337028
PCP,0.05,family,set_size_mean,4.972653334086044,0.0032649471342346
PCP,0.05,family,set_size_median,5.0,0.0
PCP,0.05,family,empty_rate,0.0,0.0
PCP,0.05,family,singleton_rate,0.000322578648605,0.000135383929596
PCP,0.05,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.05,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.05,family,hir,0.0,0.0
PCP,0.05,major,coverage,0.984490789888127,0.0005665580480782
PCP,0.05,major,set_size_mean,16.962406825965733,0.10528700818398
PCP,0.05,major,set_size_median,17.22,0.4184519575964803
PCP,0.05,major,empty_rate,0.0,0.0
PCP,0.05,major,singleton_rate,0.000322578648605,0.000135383929596
PCP,0.05,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.05,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.05,major,hir,,
PCP,0.05,leaf,coverage,0.9506165486584134,0.0031338955891896
PCP,0.05,leaf,set_size_mean,38.080098372497496,0.4451579142498566
PCP,0.05,leaf,set_size_median,39.62,0.5303060340934453
PCP,0.05,leaf,empty_rate,0.0,0.0
PCP,0.05,leaf,singleton_rate,0.0001518006580925,0.000110478750556
PCP,0.05,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.05,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.05,leaf,hir,,
PCP,0.075,family,coverage,0.9974351660818778,0.0004394898340028
PCP,0.075,family,set_size_mean,4.925758857830305,0.0031651297740207
PCP,0.075,family,set_size_median,5.0,0.0
PCP,0.075,family,empty_rate,0.0,0.0
PCP,0.075,family,singleton_rate,0.0019671059482347,0.0003259842246457
PCP,0.075,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.075,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.075,family,hir,0.0,0.0
PCP,0.075,major,coverage,0.9810024727957644,0.0006608297096185
PCP,0.075,major,set_size_mean,14.995578678645854,0.0407757607053327
PCP,0.075,major,set_size_median,15.34,0.4785181206984065
PCP,0.075,major,empty_rate,0.0,0.0
PCP,0.075,major,singleton_rate,0.0015781096354221,0.0003249467758933
PCP,0.075,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.075,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.075,major,hir,,
PCP,0.075,leaf,coverage,0.9268688257645488,0.0044145687454837
PCP,0.075,leaf,set_size_mean,30.24753058278354,0.1319256808138603
PCP,0.075,leaf,set_size_median,31.21,0.4051958458195095
PCP,0.075,leaf,empty_rate,0.0,0.0
PCP,0.075,leaf,singleton_rate,0.0014073316449094,0.0003261460295029
PCP,0.075,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.075,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.075,leaf,hir,,
PCP,0.1,family,coverage,0.9962839904215952,0.000577884466523
PCP,0.1,family,set_size_mean,4.846078058386265,0.0076841319752365
PCP,0.1,family,set_size_median,5.0,0.0
PCP,0.1,family,empty_rate,0.0,0.0
PCP,0.1,family,singleton_rate,0.0049715360643508,0.0004990105265745
PCP,0.1,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.1,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.1,family,hir,0.0,0.0
PCP,0.1,major,coverage,0.9759360355657398,0.0010753017816983
PCP,0.1,major,set_size_mean,13.469520780731484,0.1063432494374508
PCP,0.1,major,set_size_median,14.0,0.0
PCP,0.1,major,empty_rate,0.0,0.0
PCP,0.1,major,singleton_rate,0.0044149238160452,0.0004914832968118
PCP,0.1,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.1,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.1,major,hir,,
PCP,0.1,leaf,coverage,0.9018655518680176,0.0050255674490712
PCP,0.1,leaf,set_size_mean,25.730510977423204,0.296599416379348
PCP,0.1,leaf,set_size_median,26.62,0.5674864018868916
PCP,0.1,leaf,empty_rate,0.0,0.0
PCP,0.1,leaf,singleton_rate,0.0041524317186379,0.0004480144096823
PCP,0.1,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.1,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.1,leaf,hir,,
PCP,0.15,family,coverage,0.9929316692127984,0.000794321395075
PCP,0.15,family,set_size_mean,4.506750467220714,0.0126264056036663
PCP,0.15,family,set_size_median,5.0,0.0
PCP,0.15,family,empty_rate,0.0,0.0
PCP,0.15,family,singleton_rate,0.0095414475974263,0.0006271427920864
PCP,0.15,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.15,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.15,family,hir,0.0,0.0
PCP,0.15,major,coverage,0.956897357636306,0.0018428272723296
PCP,0.15,major,set_size_mean,10.420351664046498,0.0552046381671545
PCP,0.15,major,set_size_median,11.0,0.0
PCP,0.15,major,empty_rate,0.0,0.0
PCP,0.15,major,singleton_rate,0.008390278937583,0.0005348443837924
PCP,0.15,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.15,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.15,major,hir,,
PCP,0.15,leaf,coverage,0.853304380916022,0.0027334422892699
PCP,0.15,leaf,set_size_mean,18.09661392773203,0.1421526524603617
PCP,0.15,leaf,set_size_median,18.05,0.2082482819587607
PCP,0.15,leaf,empty_rate,0.0,0.0
PCP,0.15,leaf,singleton_rate,0.0077577608590274,0.0004920313177433
PCP,0.15,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.15,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.15,leaf,hir,,
PCP,0.2,family,coverage,0.9911542985850896,0.0009501134264883
PCP,0.2,family,set_size_mean,4.186705161789643,0.0208421124402806
PCP,0.2,family,set_size_median,4.14,0.3505098327538656
PCP,0.2,family,empty_rate,0.0,0.0
PCP,0.2,family,singleton_rate,0.0125617014895099,0.0013583755888732
PCP,0.2,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.2,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.2,family,hir,0.0,0.0
PCP,0.2,major,coverage,0.9294779119430095,0.0029621979036413
PCP,0.2,major,set_size_mean,8.924414034819783,0.0804296333031643
PCP,0.2,major,set_size_median,8.96,0.1979486637221574
PCP,0.2,major,empty_rate,0.0,0.0
PCP,0.2,major,singleton_rate,0.0110468384615356,0.0011185683066885
PCP,0.2,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.2,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.2,major,hir,,
PCP,0.2,leaf,coverage,0.8006191942474125,0.0056811726393706
PCP,0.2,leaf,set_size_mean,14.973793279110836,0.1719764151388991
PCP,0.2,leaf,set_size_median,14.97,0.156817845715001
PCP,0.2,leaf,empty_rate,0.0,0.0
PCP,0.2,leaf,singleton_rate,0.0089152676301041,0.0009023563639362
PCP,0.2,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.2,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.2,leaf,hir,,
PCP,0.25,family,coverage,0.9812428020016836,0.0015590666329401
PCP,0.25,family,set_size_mean,3.982033577386434,0.0305052868438569
PCP,0.25,family,set_size_median,4.0,0.0
PCP,0.25,family,empty_rate,0.0,0.0
PCP,0.25,family,singleton_rate,0.0154681018918458,0.001101362174564
PCP,0.25,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.25,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.25,family,hir,0.0,0.0
PCP,0.25,major,coverage,0.9088611698912856,0.0044645499307835
PCP,0.25,major,set_size_mean,8.238017994590724,0.0899969598320994
PCP,0.25,major,set_size_median,8.0,0.0
PCP,0.25,major,empty_rate,0.0,0.0
PCP,0.25,major,singleton_rate,0.0134156069478799,0.0008400606756993
PCP,0.25,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.25,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.25,major,hir,,
PCP,0.25,leaf,coverage,0.7507202818789321,0.0060033355258255
PCP,0.25,leaf,set_size_mean,13.415716344326787,0.1963004113522602
PCP,0.25,leaf,set_size_median,12.96,0.1979486637221574
PCP,0.25,leaf,empty_rate,0.0,0.0
PCP,0.25,leaf,singleton_rate,0.011129071402668,0.0006308601816265
PCP,0.25,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.25,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.25,leaf,hir,,
PCP,0.3,family,coverage,0.9564672906096586,0.0022616728858207
PCP,0.3,family,set_size_mean,3.6159094463790944,0.0184730730347546
PCP,0.3,family,set_size_median,4.0,0.0
PCP,0.3,family,empty_rate,0.0,0.0
PCP,0.3,family,singleton_rate,0.0354460557709446,0.0017714356849434
PCP,0.3,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.3,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.3,family,hir,0.0,0.0
PCP,0.3,major,coverage,0.8678205256280578,0.0045853986678447
PCP,0.3,major,set_size_mean,7.046204424058839,0.0547770319283817
PCP,0.3,major,set_size_median,7.0,0.0
PCP,0.3,major,empty_rate,0.0,0.0
PCP,0.3,major,singleton_rate,0.03321012611355,0.0018012454015076
PCP,0.3,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.3,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.3,major,hir,,
PCP,0.3,leaf,coverage,0.699768151034213,0.0061872213427269
PCP,0.3,leaf,set_size_mean,10.982187367343377,0.0990169617439039
PCP,0.3,leaf,set_size_median,10.46,0.5034574339058885
PCP,0.3,leaf,empty_rate,0.0,0.0
PCP,0.3,leaf,singleton_rate,0.0141524873535669,0.0009665893499311
PCP,0.3,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.3,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.3,leaf,hir,,
PCP,0.35,family,coverage,0.9340383748077282,0.0036690525173674
PCP,0.35,family,set_size_mean,3.322527942368202,0.0379273926853906
PCP,0.35,family,set_size_median,3.02,0.1414213562373094
PCP,0.35,family,empty_rate,0.0,0.0
PCP,0.35,family,singleton_rate,0.0486750869583356,0.0031246462835489
PCP,0.35,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.35,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.35,family,hir,0.0,0.0
PCP,0.35,major,coverage,0.8321467863686978,0.0058472559423836
PCP,0.35,major,set_size_mean,6.2534948662314855,0.0989095795617534
PCP,0.35,major,set_size_median,6.0,0.0
PCP,0.35,major,empty_rate,0.0,0.0
PCP,0.35,major,singleton_rate,0.0425966179987773,0.0022268469038946
PCP,0.35,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.35,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.35,major,hir,,
PCP,0.35,leaf,coverage,0.6493979618919777,0.0066285322649229
PCP,0.35,leaf,set_size_mean,9.5669807526831,0.1619264755957543
PCP,0.35,leaf,set_size_median,9.02,0.1414213562373094
PCP,0.35,leaf,empty_rate,0.0,0.0
PCP,0.35,leaf,singleton_rate,0.0197944996615327,0.0014200332039809
PCP,0.35,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.35,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.35,leaf,hir,,
PCP,0.4,family,coverage,0.9105436868421328,0.0044419501819957
PCP,0.4,family,set_size_mean,3.06047156249408,0.0368111544534821
PCP,0.4,family,set_size_median,3.0,0.0
PCP,0.4,family,empty_rate,0.0,0.0
PCP,0.4,family,singleton_rate,0.0674859928906888,0.0054133579527168
PCP,0.4,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.4,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.4,family,hir,0.0,0.0
PCP,0.4,major,coverage,0.7939494019240382,0.0062166595953564
PCP,0.4,major,set_size_mean,5.526861094246043,0.0904145215017341
PCP,0.4,major,set_size_median,5.0,0.0
PCP,0.4,major,empty_rate,0.0,0.0
PCP,0.4,major,singleton_rate,0.0592380149419492,0.0052430205970386
PCP,0.4,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.4,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.4,major,hir,,
PCP,0.4,leaf,coverage,0.5991037580945104,0.0068031790373922
PCP,0.4,leaf,set_size_mean,8.322284313421711,0.1505193764459916
PCP,0.4,leaf,set_size_median,7.98,0.1414213562373094
PCP,0.4,leaf,empty_rate,0.0,0.0
PCP,0.4,leaf,singleton_rate,0.0394371796640075,0.0032253348737651
PCP,0.4,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.4,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.4,leaf,hir,,
PCP,0.45,family,coverage,0.8774379405612391,0.0055985459360999
PCP,0.45,family,set_size_mean,2.7226589119021427,0.022208331499867
PCP,0.45,family,set_size_median,2.12,0.328260722659316
PCP,0.45,family,empty_rate,0.0,0.0
PCP,0.45,family,singleton_rate,0.1130870019965183,0.004374491035163
PCP,0.45,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.45,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.45,family,hir,0.0,0.0
PCP,0.45,major,coverage,0.7462484020373722,0.0057993643047322
PCP,0.45,major,set_size_mean,4.758705606660073,0.0496583252117273
PCP,0.45,major,set_size_median,4.0,0.0
PCP,0.45,major,empty_rate,0.0,0.0
PCP,0.45,major,singleton_rate,0.1040072504795636,0.0048129866999869
PCP,0.45,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.45,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.45,major,hir,,
PCP,0.45,leaf,coverage,0.5493565863742166,0.006249014398243
PCP,0.45,leaf,set_size_mean,7.066417079626823,0.0862248312008248
PCP,0.45,leaf,set_size_median,6.69,0.4616960746054946
PCP,0.45,leaf,empty_rate,0.0,0.0
PCP,0.45,leaf,singleton_rate,0.0770052700925424,0.0038143246968241
PCP,0.45,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.45,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.45,leaf,hir,,
PCP,0.5,family,coverage,0.8385130653616105,0.0058744726385508
PCP,0.5,family,set_size_mean,2.51780378076678,0.0236965798321177
PCP,0.5,family,set_size_median,2.0,0.0
PCP,0.5,family,empty_rate,0.0,0.0
PCP,0.5,family,singleton_rate,0.1587797547269977,0.0067522865172515
PCP,0.5,family,top1_acc_non_empty,0.4355959320968486,0.0019112194932713
PCP,0.5,family,base_top1_acc,0.4355959320968486,0.0019112194932713
PCP,0.5,family,hir,0.0,0.0
PCP,0.5,major,coverage,0.6993918309342194,0.0071720457209874
PCP,0.5,major,set_size_mean,4.257945025796215,0.0564436380814595
PCP,0.5,major,set_size_median,4.0,0.0
PCP,0.5,major,empty_rate,0.0,0.0
PCP,0.5,major,singleton_rate,0.1448518213067617,0.0062662775127291
PCP,0.5,major,top1_acc_non_empty,0.3095835192394211,0.0025033921140748
PCP,0.5,major,base_top1_acc,0.3095835192394211,0.0025033921140748
PCP,0.5,major,hir,,
PCP,0.5,leaf,coverage,0.500687866034255,0.0077112614051454
PCP,0.5,leaf,set_size_mean,6.2656712395996905,0.0838558820280656
PCP,0.5,leaf,set_size_median,5.4,0.4948716593053935
PCP,0.5,leaf,empty_rate,0.0,0.0
PCP,0.5,leaf,singleton_rate,0.1138808109030405,0.0046356475784018
PCP,0.5,leaf,top1_acc_non_empty,0.0912684488816285,0.001974813694947
PCP,0.5,leaf,base_top1_acc,0.0912684488816285,0.001974813694947
PCP,0.5,leaf,hir,,
